Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,source,saved_path,detail_specs_html_path
Laptop Dell 15 DC15250-71084746 (Intel Core i5-1334U),Laptop Dell,Intel,i5-1334u,13,,,,,,15.6,1920 x 1080,,Intel,1.65,41 Wh,19890000,https://www.anphatpc.com.vn/laptop-dell-15-dc15250-71084746.html,anphat,data/anphat/raw_htmls/0065.html,
Laptop Dell 15 DC15250 DC5I5897W1,Laptop Dell,Intel,core i5,,,,,,,15.6,1920 x 1080,,Intel,1.65,41 Wh,19890000,https://www.anphatpc.com.vn/laptop-dell-15-dc15250-dc5i5897w1.html,anphat,data/anphat/raw_htmls/0066.html,
"Lenovo IdeaPad Slim 3 16IRH10 83K20001VN | Intel Core i7-13620H, 16GB, 512GB, Intel UHD, 16 inch WUXGA IPS",lenovo,Intel,i7-13620h,13,4.9,8,DDR5,,512,16,1920 x 1200,60,Intel,1.73,60 Wh,28990000,https://laptopaz.vn/lenovo-ideapad-slim-3-16irh10-83k20001vn-intel-core-i7-13620h-16gb-512gb-intel-uhd-16-inch-wuxga-ips-60hz.html,az,,
"Laptop Acer Nitro V ANV15-41-R1JY NH.QPFSV.001 | Ryzen 5 6600H, 16GB, 512GB, RTX 3050 6GB, 15.6 inch FHD IPS 165Hz",acer,AMD,ryzen 5,5,4.5,16,DDR5,4800,2000,15.6,1920 x 1080,165,NVIDIA,2.1,57 Wh,52490000,https://laptopaz.vn/laptop-acer-nitro-v-anv15-41-r1jy-nh.qpfsv.001-ryzen-5-6600h-16gb-512gb-rtx-3050-6gb-15.6-inch-fhd-ips-165hz.html,az,,
"Dell DC15250 NKFV | Core i5-1334U, 8GB, 512GB, Intel UHD Graphics, 15.6 icnh FHD, Cảm ứng",dell,Intel,i5-1334u,13,4.60,8,DDR4,2666,512,15.6,1920 x 1080,,Intel,1.65,41 Wh,65990000,https://laptopaz.vn/dell-dc15250-nkfv-core-i5-1334u-8gb-512gb-intel-uhd-graphics-15.6-icnh-fhd-120hz-touch-carbon-black.html,az,,
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15-41-R0Y4 NH.QPESV.004 | Ryzen 7-7735HS, 16GB, 512GB, RTX 4050 6GB, 15.6 inch FHD IPS 180Hz 100% sRGB",acer,AMD,ryzen 7,7,3.20,16,DDR5,4800,4000,15.6,1920 x 1080,180,NVIDIA,2.1,57 Wh,52490000,https://laptopaz.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r0y4-nh.qpesv.004-ryzen-7-7735hs-16gb-512gb-rtx-4050-6gb-15.6-inch-fhd-ips-180hz-100-srgb.html,az,,
"Laptop ASUS Vivobook S14 S3407CA-LY096WS | Ultra 7 255H, 16GB, 512GB, Intel Graphics, 14inch WUXGA, OfficeHS24",asus,Intel,,7,2.00,16,DDR5,5600,512,14,1920 x 1200,60,Intel,1.40,70 Wh,25990000,https://laptopaz.vn/laptop-asus-vivobook-s14-s3407ca-ly096ws-ultra-7-255h-16gb-512gb-intel-graphics-14inch-wuxga-officehs24.html,az,,
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15-52-59RR NH.QZ9SV.005 | Core 5 210H, 16GB, 512GB, RTX 5050 8GB, 15.6 inch FHD IPS 180Hz 100% sRGB",acer,Intel,,,2.20,16,DDR4,3200,2000,15.6,1920 x 1080,180,NVIDIA,2.1,76 Wh,52490000,https://laptopaz.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-52-59rr-nh.qz9sv.005-core-5-210h-16gb-512gb-rtx-5050-8gb-15.6-inch-fhd-ips-180hz-100-srgb.html,az,,
"[New Outlet] Lenovo Thinkpad X1 Carbon Gen 13 Aura Edition 21NSCTO1WW |  Ultra 7-258V, 32GB, 1TB, 14 Inch 2.8K OLED 120Hz",lenovo,Intel,,7,4.8,32,LPDDR5,,1000,4,2880 x 1800,120,Intel,0.986,57 Wh,48990000,https://laptopaz.vn/new-outlet-lenovo-thinkpad-x1-carbon-gen-13-aura-edition-21nscto1ww-ultra-7-258v-32gb-1tb-14-inch-2.8k-oled-120hz.html,az,,
"Laptop Lenovo ThinkPad X13 Gen 5 21LVS62000 | Ultra 5 125U, 16GB, 512GB, Intel Graphics, 13.3 inch WUXGA, Win 11 Pro",lenovo,Intel,,5,4.30,16,LPDDR5,,2000,13.3,,,Intel,1.17,54.7 Wh,29790000,https://laptopaz.vn/laptop-lenovo-thinkpad-x13-gen-5-21lvs62000-ultra-5-125u-16gb-512gb-intel-graphics-13.3-inch-wuxga-win-11-pro.html,az,,
